Year	Month	n_days	Rg_f	Ta_f	Tmax	Tmin	VPD_f	Ts_f	Precip	SWC	LAI	ET	WS
2001	8	11	18.2366	13.6642	17.2968	10.6089	3.83335	12.5466	0	18.1304	-9999	-9999	-9999
2001	8	12	2.96163	14.1763	15.5646	11.4056	0.0468442	12.9094	14.1818	19.3671	-9999	-9999	-9999
2001	8	13	9.75033	16.2491	18.2061	13.8748	0.871178	13.8889	4.38261	23.1843	-9999	-9999	-9999
2001	8	14	10.1402	19.2954	22.8417	15.4278	1.86452	15.0407	0	21.8985	-9999	-9999	-9999
2001	8	15	20.0279	20.9204	26.4198	14.5009	5.08137	15.7054	0	20.214	-9999	-9999	-9999
2001	8	16	16.9094	21.7049	29.3772	15.8436	6.44515	16.4363	0	18.7843	-9999	-9999	-9999
2001	8	17	20.605	17.8553	21.2292	14.4454	5.24811	15.5547	0	17.709	-9999	-9999	-9999
2001	8	18	18.496	17.7935	22.4433	13.3577	6.11335	14.6932	0	16.8772	-9999	-9999	-9999
2001	8	19	4.45307	16.7964	19.4671	14.7856	1.2544	14.798	42.1955	16.4047	-9999	-9999	-9999
2001	8	20	15.2115	18.5032	22.0101	16.2697	2.76023	15.6751	3.92727	19.3864	-9999	-9999	-9999
2001	8	21	11.2143	17.4183	20.0735	14.7186	2.36205	15.1787	0	19.475	-9999	-9999	-9999
2001	8	22	19.0658	18.81	22.9696	15.6903	5.09127	14.9807	0	18.8977	-9999	-9999	-9999
2001	8	23	7.76692	17.6367	19.7993	14.537	2.49519	14.8453	0	18.38	-9999	-9999	-9999
